GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AON5E001,AON5E002,AON5E003,AON5E004,AON5E005,AON5E006,AON5E007,AON5E008,AON5E009,AON5E010,AOP8E001,AOP8E002,AOP8E003,AOP8E004,AOP8E005,AOP8E006,AOP8E007,AOP8E008,AOP8E009,AOP8E010,AOP8E011,AOP8E012,AOP8E013,AOP8E014,AOP8E015,AOP8E016,AOP8E017,AOP8E018,AOP8E019,AOP8E020,AOP8E021,AOP8E022,AOP8E023,AOP8E024,AOP8E025,AOQIE001,AOSJE001,AOSJE002,AOSJE003,AOSJE004,AOSJE005,AOSJE006,AOSJE007,NAME_M,AON5M001,AON5M002,AON5M003,AON5M004,AON5M005,AON5M006,AON5M007,AON5M008,AON5M009,AON5M010,AOP8M001,AOP8M002,AOP8M003,AOP8M004,AOP8M005,AOP8M006,AOP8M007,AOP8M008,AOP8M009,AOP8M010,AOP8M011,AOP8M012,AOP8M013,AOP8M014,AOP8M015,AOP8M016,AOP8M017,AOP8M018,AOP8M019,AOP8M020,AOP8M021,AOP8M022,AOP8M023,AOP8M024,AOP8M025,AOQIM001,AOSJM001,AOSJM002,AOSJM003,AOSJM004,AOSJM005,AOSJM006,AOSJM007
"G010","2017-2021","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US01",,,"01","Alabama",4997675,3338590,1324233,21661,70161,1702,86013,155315,45865,109450,3413803,43813,578,488,783,1937,4728,3260,5227,16393,16837,35928,61114,84786,88988,65187,864345,176864,214134,514689,303299,563628,251040,54076,41681,54943,4005499,2313616,2298013,2173597,124416,15603,1691883,"Alabama",,3980,3335,1391,1602,377,3910,4493,2541,3642,1340,1977,223,165,211,399,688,434,566,1148,1092,1513,2500,2610,2835,2428,7911,3260,4502,5995,4851,5772,4644,1916,1850,377,1780,8825,8669,8587,3443,1127,9003
"G020","2017-2021","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US02",,,"02","Alaska",735951,458520,23721,107531,47213,10766,14254,73946,10294,63652,484382,3675,54,32,144,251,476,430,662,1043,1137,3141,2942,5832,6937,5913,111772,26101,37054,86787,41808,92691,39503,9969,6028,80287,572165,383795,363718,338664,25054,20077,188370,"Alaska",,1719,820,1922,1091,428,1533,2800,1192,2481,425,501,51,22,86,129,114,174,193,212,265,392,306,637,581,646,2513,1307,1259,2242,1449,2130,1486,667,667,1113,495,2081,2386,2500,1280,931,2102
"G040","2017-2021","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US04",,,"04","Arizona",7079203,4985729,318827,300862,234495,13979,490290,735021,461736,273285,4792007,74688,1044,1478,2862,5562,11452,6837,11092,52903,13413,55156,70266,63281,84043,106383,934136,191362,365859,811770,433004,923339,413353,92301,66423,65913,5650624,3424193,3401906,3210791,191115,22287,2226431,"Arizona",,10875,4448,3623,2772,705,10666,11378,10094,6392,570,2476,302,510,593,675,1043,685,803,2001,1021,2255,2432,2106,3145,2646,8744,3814,5413,6727,5351,9073,5317,2573,2214,387,2102,7423,7579,7197,3619,1167,7444
"G050","2017-2021","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US05",,,"05","Arkansas",3006309,2227020,458086,17459,46388,10627,87626,159103,70121,88982,2021290,26523,351,304,552,1679,3901,3382,4129,14482,11322,26566,30737,40357,49307,35129,566668,122064,136067,301826,154675,313527,129009,29370,19363,52123,2382255,1390373,1384596,1310863,73733,5777,991882,"Arkansas",,4549,2316,1112,1083,594,3478,4959,4340,2439,1171,1473,147,143,193,431,588,578,536,1092,891,1667,1350,1741,2041,1484,5899,2428,2934,3885,3056,5361,3551,1511,1105,458,1257,6169,6273,6350,2564,666,5996
"G060","2017-2021","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US06",,,"06","California",39455353,20553732,2233258,360607,5887396,148278,6036865,4235217,2490857,1744360,26797070,820953,8580,13126,31005,68913,148458,89923,133283,665723,104176,258224,439379,306069,415111,733112,4836799,640355,1577027,3919551,2135865,5855383,2449563,678258,468234,84097,31499704,20129162,19980462,18676721,1303741,148700,11370542,"California",,35545,8611,8270,9676,2645,34850,31554,26473,19332,1124,9875,651,1257,1458,2498,3718,2497,3462,10639,2709,5066,7120,5075,5790,8124,29130,8222,14727,18205,13333,22797,18234,7787,6359,236,4287,22274,22033,21726,10259,3406,23055
"G080","2017-2021","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US08",,,"08","Colorado",5723176,4507448,234065,53143,183391,8192,258867,478070,262707,215363,3937040,48362,521,637,1225,2373,4520,2798,5908,29074,8177,23129,34041,37220,47100,55535,657382,153594,243289,563126,332860,1051023,465071,97490,72585,80184,4606399,3157660,3120868,2975830,145038,36792,1448739,"Colorado",,9599,3088,2176,1949,695,6935,8049,8080,4621,1052,2086,173,194,352,418,556,442,754,1703,946,1530,1603,1642,1918,1915,6867,3323,3452,6010,4449,7208,5684,2428,1927,450,1807,7808,7853,8656,3206,1383,7918
"G090","2017-2021","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US09",,,"09","Connecticut",3605330,2595884,389290,8714,167308,1262,215605,227267,114994,112273,2515137,33094,481,626,1325,1885,4672,4412,6995,16589,7375,24007,25534,30526,29992,37508,579708,77241,136553,281661,194987,561567,334219,79160,45020,83572,2954661,1950007,1940626,1822995,117631,9381,1004654,"Connecticut",,6140,3778,1010,1745,356,6884,5513,4400,3826,391,1470,188,231,328,335,756,605,898,1304,855,1423,1762,1489,1487,1587,6148,2703,2969,4344,3823,6125,4462,2070,1695,568,1382,5898,6043,6801,3336,673,5885
"G100","2017-2021","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US10",,,"10","Delaware",981892,645409,215745,3064,39684,383,28095,49512,17378,32134,690618,6240,106,122,230,313,466,770,1270,4660,1652,6421,6503,10494,11515,11026,186669,23259,41357,88319,56852,134252,71962,12917,13243,72724,798798,496804,492450,464457,27993,4354,301994,"Delaware",,2690,1814,444,687,121,2185,2358,1431,2057,180,654,68,65,116,132,143,270,379,754,355,769,715,842,957,919,3353,1313,1688,2351,1948,2905,2384,1037,1097,1127,779,3410,3436,3408,1469,636,3460
"G110","2017-2021","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US11",,,"11","District of Columbia",683154,276373,305109,1984,27988,359,32484,38857,14262,24595,487726,6160,144,147,220,468,812,498,1182,2425,1053,2707,3933,5451,6865,5869,63511,12051,16374,43879,14508,124285,106838,47536,20810,93547,568405,405651,402460,373967,28493,3191,162754,"District of Columbia",,1660,2006,468,672,82,2297,2141,1491,1791,86,795,88,119,127,174,256,227,295,533,276,509,664,739,753,550,2237,897,1150,1844,1122,2953,2596,1971,1237,1718,559,2323,2336,2650,1570,357,2477
"G120","2017-2021","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US12",,,"12","Florida",21339762,14449017,3358469,54466,596862,13065,866158,2001725,1406788,594937,15349290,248308,5774,3719,7858,14350,31836,25158,40393,118758,58613,121696,182403,226353,244657,352629,3641011,641918,1003417,1995872,1544611,3038293,1253271,356975,191417,61777,17577024,10448290,10377036,9824911,552125,71254,7128734,"Florida",,20614,9653,3100,4102,979,15527,24237,21407,11595,1557,5369,864,683,982,1362,2239,1735,2208,4592,2483,3828,4271,5068,5928,6917,29750,7835,10652,14505,11742,18998,13022,6779,3743,263,3962,20215,20103,19618,7541,2599,20443
"G130","2017-2021","GA",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US13",,,"13","Georgia",10625615,5934931,3350903,34928,448181,6894,334875,514903,221633,293270,7075856,107120,1575,1209,3276,5858,14195,8672,17581,55124,27099,67846,102318,142834,149971,127311,1598837,326511,405558,1001047,576689,1426415,643718,161767,103325,65030,8385039,5329864,5274596,4983753,290843,55268,3055175,"Georgia",,9904,6794,2577,2754,1173,9173,9398,8114,6617,2439,3531,402,407,819,754,1225,1061,1406,2579,1672,2495,3142,3541,4860,3184,14720,6228,7255,10162,5980,12247,9353,3678,3169,355,3263,13113,13021,13339,5368,2241,12861
"G150","2017-2021","HI",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US15",,,"15","Hawaii",1453498,344295,28142,4286,544643,153485,23633,355014,18697,336317,1020422,11896,119,308,371,895,1487,1573,2043,7940,2229,5931,6413,9340,9260,14663,246918,27011,61178,148345,112084,226399,83849,24381,15789,88005,1174511,764801,717453,680301,37152,47348,409710,"Hawaii",,2124,1017,700,4380,2261,1898,5337,1448,5531,210,770,74,159,135,273,286,303,420,781,299,600,730,824,923,1003,3525,1356,2320,3336,2371,3815,2052,1248,1158,761,707,3772,3856,3917,1373,1245,3901
"G160","2017-2021","ID",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US16",,,"16","Idaho",1811617,1567799,12242,22799,24616,3016,77835,103310,50399,52911,1185197,11869,324,159,516,1182,1660,1507,1349,8551,2344,8469,10149,15164,19783,21657,253718,60803,96424,206850,117437,231259,79872,19205,14946,63377,1405245,887977,883059,847426,35633,4918,517268,"Idaho",,4232,831,1223,1225,556,3698,3507,3469,2083,885,1079,161,67,176,307,427,435,344,847,445,921,872,1232,1269,1072,3684,2296,2707,3362,3063,4571,2896,1328,1215,614,1187,4317,4426,4684,1859,617,4624
"G170","2017-2021","IL",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US17",,,"17","Illinois",12821813,8699413,1804013,42714,725482,5111,795980,749100,430285,318815,8764878,130900,2057,2209,3207,8307,14908,11903,17509,89888,21465,96498,80975,110874,133150,161471,1910784,315398,583547,1177987,722272,1910757,920298,212604,125910,72563,10275978,6705184,6686514,6273473,413041,18670,3570794,"Illinois",,11026,5094,2619,3635,677,12806,11335,8991,6488,1138,3408,359,403,455,873,1045,1001,1268,2823,1195,2766,2333,2773,3227,3029,13523,4941,6016,10210,6444,10750,9156,3233,3030,319,2858,12932,12852,14871,6328,927,12424
"G180","2017-2021","IN",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US18",,,"18","Indiana",6751340,5483296,635076,11399,163657,2276,167683,287953,106749,181204,4501214,51633,819,1137,1116,2001,3428,3698,4288,18056,10458,62832,55773,81276,90601,73364,1250041,235954,306831,590836,403773,797977,334885,69354,51083,61944,5343229,3416171,3411413,3250923,160490,4758,1927058,"Indiana",,5023,4259,864,2344,286,4920,6794,3948,4731,1348,2123,233,289,368,343,503,535,537,1216,841,1999,1911,2335,2658,2104,8518,3929,4961,6460,5366,7692,5022,2291,1851,284,2139,8911,8909,9413,3905,745,9048
"G190","2017-2021","IA",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US19",,,"19","Iowa",3179090,2795319,119036,10889,79188,4182,46711,123765,46329,77436,2119884,19109,341,482,309,902,1535,1875,1873,8139,3578,21390,17036,22524,30173,23114,565056,83817,153208,282218,253485,423852,144056,34880,26932,65429,2523649,1689338,1686696,1620796,65900,2642,834311,"Iowa",,3626,2055,779,1216,339,2501,3572,2791,2497,809,1194,137,147,160,186,270,385,359,870,458,951,920,1042,1383,962,4614,1872,2107,3333,3439,4561,2467,1539,1313,397,1319,5204,5293,5425,2598,458,5291
"G200","2017-2021","KS",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US20",,,"20","Kansas",2932099,2386766,165291,21657,87946,2196,88787,179456,67886,111570,1921951,22280,446,620,711,1206,2741,2044,2919,11615,3993,17812,18319,23127,26489,26971,416830,76509,154495,281106,170483,415201,181958,37562,26514,64521,2299477,1530430,1512063,1450216,61847,18367,769047,"Kansas",,4445,2191,1292,1642,395,3434,4825,3513,3465,891,1421,125,283,220,317,511,388,425,876,467,1085,1028,1181,1169,1494,5680,2108,2804,4151,3238,4761,3362,1636,1455,344,1221,5313,5328,5371,1997,1031,5233
"G210","2017-2021","KY",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US21",,,"21","Kentucky",4494141,3842383,361703,7114,68737,3961,51365,158878,46605,112273,3053564,34640,251,649,698,1143,4439,2926,5676,13668,14013,67527,55341,67572,62429,45991,803049,197458,205024,422689,263311,461841,232970,56514,33745,55454,3588209,2135988,2121880,2009185,112695,14108,1452221,"Kentucky",,3468,2972,749,1227,599,3012,3819,2655,2691,1763,1253,93,259,180,256,505,443,604,981,1037,2077,1776,2078,2159,1543,6665,3303,3811,4870,3802,5015,4357,1705,1229,389,1829,7814,7678,7790,3184,638,7832
"G220","2017-2021","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US22",,,"22","Louisiana",4657305,2805875,1486002,25550,80438,2172,79627,177641,65233,112408,3133855,41515,586,433,1039,1118,4268,4035,7940,19666,19635,43895,58146,77982,94316,57021,864695,171509,180321,476091,209561,511447,200435,56205,31996,53571,3679521,2179709,2160206,2013907,146299,19503,1499812,"Louisiana",,4405,3746,1150,1385,611,3923,5068,2982,3878,1395,1957,247,175,264,267,606,549,949,1452,1379,2425,1867,2623,2487,2384,6826,4228,3871,5680,4122,6060,4019,2064,1428,378,1956,8954,8854,8533,3748,1022,9499
"G230","2017-2021","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US23",,,"23","Maine",1357046,1261097,19525,7578,14917,228,6800,46901,14871,32030,994900,6330,239,147,151,169,353,370,634,1255,1753,9848,8551,11323,11192,10292,258100,49282,60706,127557,102198,209253,89039,21308,14850,63182,1134793,713221,711350,681187,30163,1871,421572,"Maine",,1914,847,546,776,80,927,2172,1828,1302,503,726,124,65,95,107,140,139,178,242,307,763,709,834,728,779,3321,1499,1682,3078,2440,3318,2166,1151,933,651,663,3326,3380,3652,1406,324,3369
"G240","2017-2021","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US24",,,"24","Maryland",6148545,3238671,1833987,17266,397087,2928,326831,331775,113106,218669,4240795,64093,1104,802,1902,4032,7565,6729,9596,24038,13512,28309,43606,56163,56721,73181,884726,129566,257760,524295,290613,934036,578591,134194,115661,91431,4931565,3330279,3296484,3120977,175507,33795,1601286,"Maryland",,6376,5004,1454,2700,527,6970,7191,4399,5893,676,2244,223,192,376,668,863,858,1007,1365,920,1356,1908,2147,1813,2790,8904,2892,3648,6615,4381,8167,6771,3350,2733,570,2050,8197,8118,8768,3582,1588,8019
"G250","2017-2021","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US25",,,"25","Massachusetts",6991852,5211704,511394,14939,480944,2406,318785,451680,224943,226737,4902868,79741,869,1200,2197,4501,9618,14159,13842,23771,16002,41581,44217,55943,53397,72177,998781,138304,243814,495797,376608,1215939,701003,151981,147426,89026,5773906,3882484,3876978,3667019,209959,5506,1891422,"Massachusetts",,8679,4765,1401,2854,465,7436,7956,7105,5930,589,2713,214,240,400,563,819,845,1166,1485,1090,2027,1778,2027,2041,2268,9752,3085,4088,6661,4932,8658,7177,3172,3294,495,1782,8294,8309,9319,4919,645,8156
"G260","2017-2021","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US26",,,"26","Michigan",10062512,7715291,1368177,48361,322218,2915,142181,463369,149857,313512,6923132,79529,1140,1315,1125,2175,4487,3834,8788,18473,13347,48566,58093,102579,127537,111913,1698210,273069,530656,1047429,671205,1287856,615472,130123,86211,63202,8136493,5007906,5002960,4692409,310551,4946,3128587,"Michigan",,6195,5406,1672,2418,315,4795,8008,4716,6241,945,2506,197,230,248,392,528,516,933,1098,943,1510,1727,2427,3215,2420,9589,3478,5881,8094,6086,9460,6492,2918,2337,242,2044,9788,9762,10465,5949,518,9528
"G270","2017-2021","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US27",,,"27","Minnesota",5670472,4576758,376406,52695,283382,2338,120011,258882,74480,184402,3847501,53273,689,511,1103,1216,2253,2336,3043,11345,4302,25344,21080,31754,39879,49482,801722,117374,252628,535065,447640,944751,354504,87755,58452,77706,4495952,3109813,3105784,2980477,125307,4029,1386139,"Minnesota",,3905,3182,1388,2247,453,4352,4931,2912,4903,974,2067,199,149,225,371,380,427,436,1015,477,1079,1050,1307,1287,1722,6852,2091,3243,4572,4261,6450,4123,2509,2135,350,1624,5947,5959,6240,2941,622,6051
"G280","2017-2021","MS",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US28",,,"28","Mississippi",2967023,1701989,1113414,13357,29092,1129,38053,69989,20161,49828,1974105,25884,368,248,507,1034,2934,3356,4136,11323,12703,29707,38105,53393,61216,38608,469188,119029,121769,313875,207794,280355,127528,29987,21058,49111,2344417,1345038,1331967,1240790,91177,13071,999379,"Mississippi",,2486,2617,734,1021,420,2426,2938,1996,2670,1405,1386,140,131,242,298,513,497,465,749,960,1353,1710,2329,2318,1743,6044,3094,3167,5417,3692,5368,3371,1421,1511,447,1377,5943,6001,6305,3055,835,5897
"G290","2017-2021","MO",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US29",,,"29","Missouri",6141534,4930466,695678,19904,123406,8468,84084,279528,96321,183207,4187819,38307,828,698,492,1048,1889,2175,3200,8741,8873,49355,46521,72280,79567,63565,1083713,192888,302293,603260,342927,789957,363092,78069,54081,61043,4910777,3104195,3084786,2945966,138820,19409,1806582,"Missouri",,4931,3059,1073,1924,634,3316,6149,4461,4069,1553,1557,259,180,169,227,340,367,486,665,845,1677,1808,2149,2512,2217,9253,3240,4276,6397,4198,7788,5445,2584,1822,316,1883,6948,6950,7379,3178,1109,6863
"G300","2017-2021","MT",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US30",,,"30","Montana",1077978,938223,6236,65452,8972,581,10155,48359,13846,34513,746462,3112,67,84,63,4,116,152,198,727,758,6356,4372,7652,9508,8991,172411,35085,52561,121909,71110,166825,57507,15666,11228,60560,872599,552144,548944,526641,22303,3200,320455,"Montana",,1741,696,1255,543,123,1126,1992,1223,1513,797,425,44,52,49,6,58,69,79,159,196,653,435,602,668,703,2743,1326,1761,2573,2029,3049,1797,1091,804,730,815,2833,2829,3088,1119,307,3021
"G310","2017-2021","NE",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US31",,,"31","Nebraska",1951480,1630376,93358,17937,48379,1175,60041,100214,45055,55159,1275315,19563,273,547,587,1225,1727,1397,1462,8512,2272,10377,10935,12718,16400,17611,281323,45022,97343,188989,136857,274664,103385,24415,17711,66644,1519415,1052366,1046463,1011989,34474,5903,467049,"Nebraska",,3382,1767,1183,1041,273,2900,3426,2562,2259,635,1410,110,204,228,268,379,297,370,841,413,708,726,781,999,941,3677,1202,1995,3169,2093,3331,2163,1013,1003,429,980,2959,3037,3360,1491,497,2938
"G320","2017-2021","NV",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US32",,,"32","Nevada",3059238,1799601,284412,37850,255094,21810,345215,315256,165941,149315,2116718,40475,611,803,1176,2801,5476,3766,6485,28575,5944,16911,27096,29192,41586,63863,497592,89996,161676,359700,181391,359703,134479,36237,21184,65686,2443108,1549597,1538959,1429447,109512,10638,893511,"Nevada",,7428,2959,1697,2962,913,7187,7097,6127,4622,634,2056,185,221,418,524,556,441,832,1558,690,1173,1507,1519,2162,2400,5673,2923,3548,4385,3989,4158,3083,1484,1132,488,1471,5060,5099,5211,2680,984,4880
"G330","2017-2021","NH",,,"New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US33",,,"33","New Hampshire",1372175,1249067,21834,1988,36625,513,11258,50890,20100,30790,986106,7085,273,364,207,423,470,432,511,1755,2040,7336,7596,11683,10559,12075,228387,40955,60948,114589,101383,230314,110986,19946,15789,83449,1144768,769793,767453,738506,28947,2340,374975,"New Hampshire",,2183,1150,301,931,220,1389,2237,2029,1387,521,701,119,197,131,190,192,136,148,363,503,775,700,960,779,885,3667,1406,1882,3154,2167,3564,2377,1026,1000,773,828,3252,3327,3377,1369,541,3146
"G340","2017-2021","NJ",,,"New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US34",,,"34","New Jersey",9234024,5787873,1225321,24719,900516,3303,675022,617270,380273,236997,6411606,100246,2203,1504,2813,5688,12809,14723,20842,56186,19264,58867,55864,68517,74522,114829,1532767,160793,330424,687303,430589,1611515,763884,178003,107451,89703,7436293,4905036,4893875,4588902,304973,11161,2531257,"New Jersey",,11074,4828,2201,3194,608,11059,9635,8794,6048,634,2840,371,299,460,766,1100,1204,1385,2794,1573,2438,2191,2237,2199,2950,13083,3419,5168,7700,5139,10544,7579,3555,2646,507,2491,9517,9482,10426,5726,841,10132
"G350","2017-2021","NM",,,"New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US35",,,"35","New Mexico",2109366,1364638,44792,197712,34313,1705,204742,261464,196830,64634,1426639,19774,396,214,866,1734,5058,2901,3742,21483,6026,15164,25025,27828,34753,23751,305573,65825,90798,241139,127548,225538,127471,27269,26763,54020,1682568,964460,952564,889428,63136,11896,718108,"New Mexico",,8553,1471,2492,1242,402,5482,7215,6515,3023,924,1293,182,116,304,397,591,468,522,1604,745,986,1345,1286,1665,1419,4623,2357,2545,4277,3116,4265,2986,1257,1237,484,1179,5000,5178,5454,2538,854,4959
"G360","2017-2021","NY",,,"New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US36",,,"36","New York",20114745,12215118,3058846,83734,1739196,9131,1808007,1200713,642064,558649,14081080,329538,4731,4178,7903,14227,34994,31886,60446,140227,52745,161496,176215,198622,225261,327188,2992384,561214,677796,1466679,1246638,2996306,1706772,433494,230140,75157,16383427,10331727,10306430,9663517,642913,25297,6051700,"New York",,15025,9147,4228,5899,1126,19547,14299,11780,9633,1108,6534,582,529,948,1153,1730,2225,2210,4299,2061,3800,4718,4015,4638,5566,20554,6580,7198,11214,9511,15041,14974,7516,4979,322,3165,15457,15392,17911,8293,1104,15411
"G370","2017-2021","NC",,,"North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US37",,,"37","North Carolina",10367022,6865508,2193147,113719,314690,7119,372381,500458,195529,304929,7084876,88587,1686,1320,2314,5468,11945,9805,17108,49526,28676,75984,117249,137516,133050,96452,1491885,295709,438957,1035671,706805,1481848,621189,134988,101138,60516,8336531,5219602,5119397,4845768,273629,100205,3116929,"North Carolina",,8866,6227,2168,2286,680,8761,8915,6453,6444,1388,3154,431,347,421,563,1032,926,1320,2330,1524,2660,3626,3410,3355,2929,12382,4454,6119,9763,7017,11377,7767,3739,2678,353,3026,10992,11068,12624,4652,2079,10948
"G380","2017-2021","ND",,,"North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US38",,,"38","North Dakota",773344,656584,24349,39103,12313,1194,10002,29799,7142,22657,503897,3823,50,78,42,118,148,99,181,596,577,7313,2973,4974,6369,6490,110990,20410,32928,77820,71266,112023,32085,7056,5488,68131,607971,424182,416764,403612,13152,7418,183789,"North Dakota",,1366,813,990,594,514,1014,1837,959,1442,625,538,40,76,39,78,71,48,85,226,153,633,349,580,621,620,2251,1060,1124,2332,1883,2673,1566,661,572,1030,603,2200,2280,2379,881,672,2185
"G390","2017-2021","OH",,,"Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US39",,,"39","Ohio",11769923,9374538,1452530,18416,276828,3899,141320,502392,134108,368284,8077453,78456,1570,1045,1547,2970,4457,4140,6692,15107,14542,85098,75480,130815,162537,131295,2324639,312216,554264,1059014,713240,1483021,674554,145311,95443,61938,9449482,5981645,5970869,5656463,314406,10776,3467837,"Ohio",,4889,5029,1290,3041,498,4263,7690,4546,6568,1453,2748,338,331,304,550,555,531,654,1134,958,2392,2182,3471,3668,3092,12048,4750,6387,9724,6386,9845,7690,3137,2457,252,2215,10617,10475,12836,5727,796,10557
"G400","2017-2021","OK",,,"Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US40",,,"40","Oklahoma",3948136,2752553,284536,303792,88601,6760,118507,393387,76760,316627,2607741,30779,367,451,1064,1952,4279,2773,4905,18956,8181,26241,37094,48899,61042,46390,673014,130712,196651,399279,214570,457256,173720,40742,28424,56956,3094226,1902597,1881598,1786742,94856,20999,1191629,"Oklahoma",,4429,3081,2773,1400,424,3620,5271,3285,4305,977,1176,162,148,214,358,485,426,569,1126,599,1053,1289,1499,1889,1567,5741,2381,3159,4469,3130,4063,2752,1492,1254,382,1213,4979,4944,5018,2273,995,5196
"G410","2017-2021","OR",,,"Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US41",,,"41","Oregon",4207177,3394838,77913,46075,186724,17272,158743,325612,117182,208430,2971396,34201,833,770,1056,2968,5119,3268,5453,19889,5883,18469,25996,35430,41245,52022,539294,128789,240259,498986,270372,644813,275519,68616,52146,70084,3434262,2150814,2146693,2026107,120586,4121,1283448,"Oregon",,6460,2229,1939,2262,773,5201,6068,4456,3871,868,1477,252,263,398,556,586,517,695,1539,776,1213,1586,1652,1876,1838,5781,2825,3844,5438,4088,6756,4632,2263,1670,505,1459,6797,6767,6717,2987,586,6751
"G420","2017-2021","PA",,,"Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US42",,,"42","Pennsylvania",12970650,10153752,1425210,20511,460932,4426,350618,555201,214311,340890,9111497,98390,1976,1542,2817,3336,8158,7102,10930,24979,18360,95064,92230,134243,156175,132074,2727779,351560,499024,933141,795367,1813647,859980,196159,147464,67587,10587037,6671309,6662890,6295594,367296,8419,3915728,"Pennsylvania",,8231,6541,1599,3160,541,7773,8166,5917,6202,850,2847,423,298,478,565,1134,876,928,2391,1256,2795,2626,3109,3798,2846,14240,4541,5391,7102,7426,10231,7762,3382,2757,271,2689,12439,12652,13911,5204,761,12376
