GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AON5E001,AON5E002,AON5E003,AON5E004,AON5E005,AON5E006,AON5E007,AON5E008,AON5E009,AON5E010,AOOCE001,AOOCE002,AOOCE003,AOOCE004,AOOCE005,AOOCE006,AOOCE007,AOOCE008,AOOCE009,AOOCE010,AOOCE011,AOOCE012,AOOCE013,AOOCE014,AOOCE015,AOOCE016,AOOCE017,AOOCE018,AOOCE019,AOOCE020,AOOCE021,AOP8E001,AOP8E002,AOP8E003,AOP8E004,AOP8E005,AOP8E006,AOP8E007,AOP8E008,AOP8E009,AOP8E010,AOP8E011,AOP8E012,AOP8E013,AOP8E014,AOP8E015,AOP8E016,AOP8E017,AOP8E018,AOP8E019,AOP8E020,AOP8E021,AOP8E022,AOP8E023,AOP8E024,AOP8E025,AOQIE001,AOSJE001,AOSJE002,AOSJE003,AOSJE004,AOSJE005,AOSJE006,AOSJE007,NAME_M,AON5M001,AON5M002,AON5M003,AON5M004,AON5M005,AON5M006,AON5M007,AON5M008,AON5M009,AON5M010,AOOCM001,AOOCM002,AOOCM003,AOOCM004,AOOCM005,AOOCM006,AOOCM007,AOOCM008,AOOCM009,AOOCM010,AOOCM011,AOOCM012,AOOCM013,AOOCM014,AOOCM015,AOOCM016,AOOCM017,AOOCM018,AOOCM019,AOOCM020,AOOCM021,AOP8M001,AOP8M002,AOP8M003,AOP8M004,AOP8M005,AOP8M006,AOP8M007,AOP8M008,AOP8M009,AOP8M010,AOP8M011,AOP8M012,AOP8M013,AOP8M014,AOP8M015,AOP8M016,AOP8M017,AOP8M018,AOP8M019,AOP8M020,AOP8M021,AOP8M022,AOP8M023,AOP8M024,AOP8M025,AOQIM001,AOSJM001,AOSJM002,AOSJM003,AOSJM004,AOSJM005,AOSJM006,AOSJM007
"G010","2017-2021","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US01",,,"01","Alabama",4997675,3338590,1324233,21661,70161,1702,86013,155315,45865,109450,4997675,4773016,3241003,1316314,17417,69331,1594,12504,114853,12446,102407,224659,97587,7919,4244,830,108,73509,40462,33419,7043,3413803,43813,578,488,783,1937,4728,3260,5227,16393,16837,35928,61114,84786,88988,65187,864345,176864,214134,514689,303299,563628,251040,54076,41681,54943,4005499,2313616,2298013,2173597,124416,15603,1691883,"Alabama",,3980,3335,1391,1602,377,3910,4493,2541,3642,,413,2076,3018,941,1559,376,1867,3835,1289,3489,413,3390,1294,946,353,72,3265,2493,2342,927,1340,1977,223,165,211,399,688,434,566,1148,1092,1513,2500,2610,2835,2428,7911,3260,4502,5995,4851,5772,4644,1916,1850,377,1780,8825,8669,8587,3443,1127,9003
"G020","2017-2021","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US02",,,"02","Alaska",735951,458520,23721,107531,47213,10766,14254,73946,10294,63652,735951,682347,434515,22787,104399,46455,10500,3589,60102,3352,56750,53604,24005,934,3132,758,266,10665,13844,6942,6902,484382,3675,54,32,144,251,476,430,662,1043,1137,3141,2942,5832,6937,5913,111772,26101,37054,86787,41808,92691,39503,9969,6028,80287,572165,383795,363718,338664,25054,20077,188370,"Alaska",,1719,820,1922,1091,428,1533,2800,1192,2481,,171,1067,769,1705,1038,396,938,2505,831,2279,171,1337,276,622,254,173,1316,1180,786,915,425,501,51,22,86,129,114,174,193,212,265,392,306,637,581,646,2513,1307,1259,2242,1449,2130,1486,667,667,1113,495,2081,2386,2500,1280,931,2102
"G040","2017-2021","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US04",,,"04","Arizona",7079203,4985729,318827,300862,234495,13979,490290,735021,461736,273285,7079203,4821774,3781665,299877,256947,228292,12623,18441,223929,25540,198389,2257429,1204064,18950,43915,6203,1356,471849,511092,436196,74896,4792007,74688,1044,1478,2862,5562,11452,6837,11092,52903,13413,55156,70266,63281,84043,106383,934136,191362,365859,811770,433004,923339,413353,92301,66423,65913,5650624,3424193,3401906,3210791,191115,22287,2226431,"Arizona",,10875,4448,3623,2772,705,10666,11378,10094,6392,,,2215,3901,2441,2613,610,1532,5058,2044,4936,,10503,1802,2529,803,408,10620,10040,9653,3835,570,2476,302,510,593,675,1043,685,803,2001,1021,2255,2432,2106,3145,2646,8744,3814,5413,6727,5351,9073,5317,2573,2214,387,2102,7423,7579,7197,3619,1167,7444
"G050","2017-2021","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US05",,,"05","Arkansas",3006309,2227020,458086,17459,46388,10627,87626,159103,70121,88982,3006309,2770308,2123715,455748,13665,45575,10408,6267,114930,33201,81729,236001,103305,2338,3794,813,219,81359,44173,36920,7253,2021290,26523,351,304,552,1679,3901,3382,4129,14482,11322,26566,30737,40357,49307,35129,566668,122064,136067,301826,154675,313527,129009,29370,19363,52123,2382255,1390373,1384596,1310863,73733,5777,991882,"Arkansas",,4549,2316,1112,1083,594,3478,4959,4340,2439,,293,3320,2142,767,1049,569,1397,4032,3288,2176,291,2931,526,810,382,149,3268,2670,2559,932,1171,1473,147,143,193,431,588,578,536,1092,891,1667,1350,1741,2041,1484,5899,2428,2934,3885,3056,5361,3551,1511,1105,458,1257,6169,6273,6350,2564,666,5996
"G060","2017-2021","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US06",,,"06","California",39455353,20553732,2233258,360607,5887396,148278,6036865,4235217,2490857,1744360,39455353,23861566,14109297,2128184,124341,5802086,134692,149096,1413870,146794,1267076,15593787,6444435,105074,236266,85310,13586,5887769,2821347,2344063,477284,26797070,820953,8580,13126,31005,68913,148458,89923,133283,665723,104176,258224,439379,306069,415111,733112,4836799,640355,1577027,3919551,2135865,5855383,2449563,678258,468234,84097,31499704,20129162,19980462,18676721,1303741,148700,11370542,"California",,35545,8611,8270,9676,2645,34850,31554,26473,19332,,,5975,8287,2631,9928,2100,5356,14196,4451,12631,,36097,3837,7712,3352,1574,34488,26370,26263,10610,1124,9875,651,1257,1458,2498,3718,2497,3462,10639,2709,5066,7120,5075,5790,8124,29130,8222,14727,18205,13333,22797,18234,7787,6359,236,4287,22274,22033,21726,10259,3406,23055
"G080","2017-2021","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US08",,,"08","Colorado",5723176,4507448,234065,53143,183391,8192,258867,478070,262707,215363,5723176,4468540,3821828,222572,26070,180192,7357,18010,192511,32189,160322,1254636,685620,11493,27073,3199,835,240857,285559,230518,55041,3937040,48362,521,637,1225,2373,4520,2798,5908,29074,8177,23129,34041,37220,47100,55535,657382,153594,243289,563126,332860,1051023,465071,97490,72585,80184,4606399,3157660,3120868,2975830,145038,36792,1448739,"Colorado",,9599,3088,2176,1949,695,6935,8049,8080,4621,,179,3473,2646,1038,1956,661,1749,3955,2746,3327,179,9356,1185,1866,477,256,6859,7666,7203,3392,1052,2086,173,194,352,418,556,442,754,1703,946,1530,1603,1642,1918,1915,6867,3323,3452,6010,4449,7208,5684,2428,1927,450,1807,7808,7853,8656,3206,1383,7918
"G090","2017-2021","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US09",,,"09","Connecticut",3605330,2595884,389290,8714,167308,1262,215605,227267,114994,112273,3605330,2995265,2340848,359156,4225,165872,761,18819,105584,23005,82579,610065,255036,30134,4489,1436,501,196786,121683,91989,29694,2515137,33094,481,626,1325,1885,4672,4412,6995,16589,7375,24007,25534,30526,29992,37508,579708,77241,136553,281661,194987,561567,334219,79160,45020,83572,2954661,1950007,1940626,1822995,117631,9381,1004654,"Connecticut",,6140,3778,1010,1745,356,6884,5513,4400,3826,,,2312,2790,586,1740,197,1917,3362,1970,2852,,5638,2723,875,319,271,6446,4474,4082,2475,391,1470,188,231,328,335,756,605,898,1304,855,1423,1762,1489,1487,1587,6148,2703,2969,4344,3823,6125,4462,2070,1695,568,1382,5898,6043,6801,3336,673,5885
"G100","2017-2021","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US10",,,"10","Delaware",981892,645409,215745,3064,39684,383,28095,49512,17378,32134,981892,886614,597040,211387,2084,39398,299,3662,32744,3397,29347,95278,48369,4358,980,286,84,24433,16768,13981,2787,690618,6240,106,122,230,313,466,770,1270,4660,1652,6421,6503,10494,11515,11026,186669,23259,41357,88319,56852,134252,71962,12917,13243,72724,798798,496804,492450,464457,27993,4354,301994,"Delaware",,2690,1814,444,687,121,2185,2358,1431,2057,,,1289,1769,260,672,65,1022,2084,732,2010,,2455,594,322,160,102,1843,1614,1367,814,180,654,68,65,116,132,143,270,379,754,355,769,715,842,957,919,3353,1313,1688,2351,1948,2905,2384,1037,1097,1127,779,3410,3436,3408,1469,636,3460
"G110","2017-2021","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US11",,,"11","District of Columbia",683154,276373,305109,1984,27988,359,32484,38857,14262,24595,683154,606172,250396,299716,1003,27522,297,3606,23632,3155,20477,76982,25977,5393,981,466,62,28878,15225,11107,4118,487726,6160,144,147,220,468,812,498,1182,2425,1053,2707,3933,5451,6865,5869,63511,12051,16374,43879,14508,124285,106838,47536,20810,93547,568405,405651,402460,373967,28493,3191,162754,"District of Columbia",,1660,2006,468,672,82,2297,2141,1491,1791,,,1021,1538,180,655,59,961,1728,972,1641,,1512,1079,409,194,53,1981,1520,1205,853,86,795,88,119,127,174,256,227,295,533,276,509,664,739,753,550,2237,897,1150,1844,1122,2953,2596,1971,1237,1718,559,2323,2336,2650,1570,357,2477
"G120","2017-2021","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US12",,,"12","Florida",21339762,14449017,3358469,54466,596862,13065,866158,2001725,1406788,594937,21339762,15746672,11217187,3223893,31002,585096,10749,102728,576017,120318,455699,5593090,3231830,134576,23464,11766,2316,763430,1425708,1286470,139238,15349290,248308,5774,3719,7858,14350,31836,25158,40393,118758,58613,121696,182403,226353,244657,352629,3641011,641918,1003417,1995872,1544611,3038293,1253271,356975,191417,61777,17577024,10448290,10377036,9824911,552125,71254,7128734,"Florida",,20614,9653,3100,4102,979,15527,24237,21407,11595,,,6173,8357,1440,3844,796,4791,11036,6461,9420,,19494,5114,2644,1145,669,14388,19568,19106,6133,1557,5369,864,683,982,1362,2239,1735,2208,4592,2483,3828,4271,5068,5928,6917,29750,7835,10652,14505,11742,18998,13022,6779,3743,263,3962,20215,20103,19618,7541,2599,20443
